#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,"is the graphical server."
,xorg-xinit,"starts the graphical server."
,xorg-xprop,"is a tool for detecting window properties."
,dosfstools,"allows your computer to access dos-like filesystems."
,dunst,"is a suckless notification system."
,gnome-keyring,"serves as the system keyring."
,pulseaudio-alsa,"is the audio system."
,pulsemixer,"is an audio controller."
,pamixer,"is a command-line audio interface."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,xorg-xbacklight,"enables changing screen brightness levels."
,xorg-xrandr,"enables changing screen resolution."
,alacritty,"is a terminal emulator."
,qtile,"is a window manager."
,python-psutil,"is a python package manages import of qtile."
,rofi,"is a window manager."
,brightnessctl,"is a brightness control utility."
,pcmanfm,"is a file manager."
,vim,"is a text editor."
